date,Durchfall,Angst,Rachenschmerzen,Fieber,Entzündung,Muskelschmerzen,Schock,trockener Husten,Sputum,Husten,Kopfschmerzen,Erbrechen,Übelkeit,Lymphopenie,Pneumonie,respiratorische Insuffizienz,Dyspnoe,Hypoxämie,Müdigkeit,Ausfluss,ensemble_trend,harmonic_p,Holm_pval(alpha=0.05),up/down trend
2020-06-06,1,1,1,1,1,-1,-1,-1,1,-1,1,1,1,-1,0,1,-1,-1,1,-1,1,8.169063481911851e-19,3.782276392125187e-16,1
2020-06-07,1,1,1,1,1,-1,-1,-1,1,-1,1,1,1,-1,0,1,-1,-1,1,-1,1,1.7457832099703e-20,1.0579446252420018e-17,1
2020-06-08,1,1,1,1,1,-1,-1,0,1,-1,1,1,1,-1,0,1,-1,-1,1,-1,1,1.754026972103353e-22,1.2646534468865175e-19,1
2020-06-09,1,1,1,1,1,-1,-1,0,1,0,1,1,1,-1,0,1,-1,-1,1,-1,1,1.0299795447553454e-23,7.899943108273499e-21,1
2020-06-10,1,1,1,1,1,-1,-1,0,1,0,1,1,1,-1,1,1,-1,-1,1,-1,1,1.959083427801579e-22,1.4085809845893353e-19,1
2020-06-11,1,1,1,1,1,-1,-1,0,1,0,1,1,1,-1,1,1,-1,-1,1,0,1,3.2562267982039574e-22,2.308664799926606e-19,1
2020-06-12,1,1,1,1,1,-1,-1,0,1,0,1,0,1,-1,1,1,-1,-1,1,0,1,1.807650279260709e-22,1.3015082010677104e-19,1
2020-06-13,1,1,1,1,1,0,-1,1,1,0,1,0,1,-1,1,1,-1,-1,1,0,1,8.138629797949156e-22,5.640070449978765e-19,1
2020-06-14,1,0,1,1,1,0,-1,1,1,1,1,0,1,-1,1,1,-1,-1,1,0,1,1.3267873059553693e-21,9.035421553556065e-19,1
2020-06-15,1,0,1,1,1,0,-1,1,1,1,1,0,1,-1,1,1,-1,-1,1,1,1,4.449518875169821e-22,3.1235622503692147e-19,1
2020-06-16,1,0,1,1,1,0,-1,1,1,1,1,0,1,-1,1,1,-1,-1,1,1,1,3.294593083027195e-23,2.4709448122703962e-20,1
2020-06-17,1,0,1,1,1,0,-1,1,1,1,1,-1,1,-1,1,1,-1,-1,1,1,1,2.1891008467784605e-23,1.6615275427048515e-20,1
2020-06-18,1,0,1,1,1,1,-1,1,1,1,1,-1,1,-1,1,1,-1,0,1,1,1,4.161414630486994e-21,2.709080924447033e-18,1
2020-06-19,1,-1,1,1,1,1,-1,1,1,1,1,-1,1,-1,1,1,-1,0,1,1,1,1.0683946120558067e-18,4.850511538733363e-16,1
2020-06-20,1,-1,1,1,1,1,-1,1,1,1,1,-1,1,-1,1,1,-1,0,1,1,1,8.933787403477548e-17,2.635467284025877e-14,1
2020-06-21,1,-1,1,1,1,1,0,1,1,1,1,-1,1,-1,1,1,-1,0,1,1,1,3.437008484406769e-15,7.355198156630486e-13,1
2020-06-22,1,-1,1,1,1,1,0,1,1,1,1,-1,1,-1,1,1,-1,0,1,1,1,5.296474515384096e-14,8.103606008537666e-12,1
2020-06-23,1,0,1,1,1,1,0,1,1,1,0,-1,1,-1,1,1,-1,1,1,1,1,1.6802587845945348e-14,2.9740580487323264e-12,1
2020-06-24,1,0,1,1,1,1,0,1,1,1,0,-1,1,-1,1,1,-1,1,1,1,1,1.6286977755095151e-13,2.2476029302031308e-11,1
2020-06-25,1,0,1,1,1,1,0,1,1,1,0,-1,1,-1,0,1,-1,1,1,1,1,7.33666009099735e-13,8.80399210919682e-11,1
2020-06-26,1,0,1,1,1,1,1,1,1,1,0,-1,1,-1,0,1,-1,1,1,1,1,6.573691334933733e-15,1.281869810312078e-12,1
2020-06-27,1,0,1,1,1,1,1,1,1,1,0,-1,1,-1,0,1,-1,1,1,1,1,2.8016042020488336e-17,9.186464007546268e-15,1
2020-06-28,1,1,1,1,1,1,1,1,1,1,-1,-1,1,-1,0,1,-1,1,1,1,1,8.218226459467037e-18,3.0975126124245613e-15,1
2020-06-29,1,1,1,1,1,1,1,1,1,1,-1,-1,1,-1,0,1,-1,1,1,1,1,2.1963073079573679e-16,5.864140512246173e-14,1
2020-06-30,1,1,1,1,0,1,1,1,1,1,-1,-1,1,-1,-1,1,-1,1,1,1,1,1.7132099010978947e-17,6.030498851864589e-15,1
2020-07-01,1,1,1,1,0,1,1,1,1,1,-1,-1,1,-1,-1,0,-1,1,1,1,1,9.386697309010349e-17,2.7503023115400324e-14,1
2020-07-02,1,1,1,1,0,1,1,1,0,1,-1,-1,1,-1,-1,0,-1,1,1,1,1,1.080385179093818e-14,2.0311241366963778e-12,1
2020-07-03,1,1,1,1,0,1,1,1,0,1,-1,-1,1,-1,-1,0,0,1,0,1,1,9.415131778512226e-16,2.2408013632859098e-13,1
